c_personid,c_year,c_index_year
42097,1262,1232
42163,1262,1232
42171,1262,1232
38467,1262,1232
38551,1256,1232
40101,1256,1232
40137,1262,1232
40690,1256,1232
40729,1262,1232
41657,1256,1232
41784,1256,1232
42468,1262,1232
42875,1256,1232
42995,1262,1232
45011,1256,1232
45309,1262,1232
45413,1262,1232
45650,1256,1232
46273,1262,1232
46297,1262,1232
46502,1256,1232
46989,1262,1232
51116,1256,1232
51291,1262,1232
51445,1262,1232
51450,1262,1232
48539,1262,1232
48544,1256,1232
49890,1262,1232
50600,1256,1232
50845,1262,1232
50894,1256,1232
51487,1268,1232
51493,1262,1232
52049,1262,1232
52251,1262,1232
52320,1262,1232
52366,1262,1232
52942,1256,1232
97170,1262,1232
108623,1262,1232
111952,1262,1232
136218,1256,1232
385000,1262,1232
385001,1262,1232
385002,1262,1232
385003,1262,1232
385004,1262,1232
385005,1262,1232
385006,1262,1232
385007,1262,1232
385008,1262,1232
412366,1262,1232
531290,1262,1232
532834,1262,1232
532932,1262,1232
540483,1262,1232
540695,1262,1232
541567,1262,1232
541568,1262,1232
541569,1262,1232
541570,1262,1232
541571,1262,1232
541572,1262,1232
541573,1262,1232
541574,1262,1232
541575,1262,1232
541576,1262,1232
541577,1262,1232
541578,1262,1232
541579,1262,1232
541580,1262,1232
541581,1262,1232
541582,1262,1232
541583,1262,1232
541584,1262,1232
541585,1262,1232
541586,1262,1232
541587,1262,1232
541588,1262,1232
541589,1262,1232
541590,1262,1232
541591,1262,1232
541592,1262,1232
541593,1262,1232
541594,1262,1232
541595,1262,1232
541596,1262,1232
541597,1262,1232
541598,1262,1232
541599,1262,1232
541600,1262,1232
541601,1262,1232
541602,1262,1232
541603,1262,1232
541604,1262,1232
541605,1262,1232
541606,1262,1232
541607,1262,1232
541608,1262,1232
541609,1262,1232
541610,1262,1232
541611,1262,1232
541612,1262,1232
541613,1262,1232
541614,1262,1232
541615,1262,1232
541616,1262,1232
541617,1262,1232
541618,1262,1232
541619,1262,1232
541620,1262,1232
541621,1262,1232
541622,1262,1232
541623,1262,1232
541624,1262,1232
541625,1262,1232
541626,1262,1232
541627,1262,1232
541628,1262,1232
541629,1262,1232
541630,1262,1232
541631,1262,1232
541632,1262,1232
541633,1262,1232
541634,1262,1232
541635,1262,1232
541636,1262,1232
541637,1262,1232
541638,1262,1232
541639,1262,1232
541640,1262,1232
541641,1262,1232
541642,1262,1232
541643,1262,1232
541644,1262,1232
541645,1262,1232
541646,1262,1232
541647,1262,1232
541648,1262,1232
541649,1262,1232
541650,1262,1232
541651,1262,1232
541652,1262,1232
541653,1262,1232
541654,1262,1232
541655,1262,1232
541656,1262,1232
541657,1262,1232
541658,1262,1232
541659,1262,1232
541660,1262,1232
541661,1262,1232
541662,1262,1232
541663,1262,1232
541664,1262,1232
541665,1262,1232
541666,1262,1232
541667,1262,1232
541668,1262,1232
541669,1262,1232
541670,1262,1232
541671,1262,1232
541672,1262,1232
541673,1262,1232
541674,1262,1232
541675,1262,1232
541676,1262,1232
541677,1262,1232
541678,1262,1232
541679,1262,1232
541680,1262,1232
541681,1262,1232
541682,1262,1232
541683,1262,1232
541684,1262,1232
541685,1262,1232
541686,1262,1232
541687,1262,1232
541688,1262,1232
541689,1262,1232
541690,1262,1232
541691,1262,1232
541692,1262,1232
541693,1262,1232
541694,1262,1232
541695,1262,1232
541696,1262,1232
541697,1262,1232
541698,1262,1232
541699,1262,1232
541700,1262,1232
541701,1262,1232
541702,1262,1232
541703,1262,1232
541704,1262,1232
541705,1262,1232
541706,1262,1232
541707,1262,1232
541708,1262,1232
541709,1262,1232
541710,1262,1232
541711,1262,1232
541712,1262,1232
541713,1262,1232
541714,1262,1232
541715,1262,1232
541716,1262,1232
541717,1262,1232
541718,1262,1232
541719,1262,1232
541720,1262,1232
541721,1262,1232
541722,1262,1232
541723,1262,1232
541724,1262,1232
541725,1262,1232
541726,1262,1232
541727,1262,1232
541728,1262,1232
541729,1262,1232
541730,1262,1232
541731,1262,1232
541732,1262,1232
541733,1262,1232
541734,1262,1232
541735,1262,1232
541736,1262,1232
541737,1262,1232
541738,1262,1232
541739,1262,1232
541740,1262,1232
541741,1262,1232
541742,1262,1232
541743,1262,1232
541744,1262,1232
541745,1262,1232
541746,1262,1232
541747,1262,1232
541748,1262,1232
541749,1262,1232
541750,1262,1232
541751,1262,1232
541752,1262,1232
541753,1262,1232
541754,1262,1232
541755,1262,1232
541756,1262,1232
541757,1262,1232
541758,1262,1232
541759,1262,1232
541760,1262,1232
541761,1262,1232
541762,1262,1232
541763,1262,1232
541764,1262,1232
541765,1262,1232
541766,1262,1232
541767,1262,1232
541768,1262,1232
541769,1262,1232
541770,1262,1232
541771,1262,1232
541772,1262,1232
541773,1262,1232
541774,1262,1232
541775,1262,1232
541776,1262,1232
541777,1262,1232
541778,1262,1232
541779,1262,1232
541780,1262,1232
541781,1262,1232
541782,1262,1232
541783,1262,1232
541784,1262,1232
541785,1262,1232
541786,1262,1232
541787,1262,1232
541788,1262,1232
541789,1262,1232
541790,1262,1232
541791,1262,1232
541792,1262,1232
541793,1262,1232
541794,1262,1232
541795,1262,1232
541796,1262,1232
541797,1262,1232
541798,1262,1232
541799,1262,1232
541800,1262,1232
541801,1262,1232
541802,1262,1232
541803,1262,1232
541804,1262,1232
541805,1262,1232
541806,1262,1232
541807,1262,1232
541808,1262,1232
541809,1262,1232
541810,1262,1232
541811,1262,1232
541812,1262,1232
541813,1262,1232
541814,1262,1232
541815,1262,1232
541816,1262,1232
541817,1262,1232
541818,1262,1232
541819,1262,1232
541820,1262,1232
541821,1262,1232
541822,1262,1232
541823,1262,1232
541824,1262,1232
541825,1262,1232
541826,1262,1232
541827,1262,1232
541828,1262,1232
541829,1262,1232
541830,1262,1232
541831,1262,1232
541832,1262,1232
541833,1262,1232
541834,1262,1232
541835,1262,1232
541836,1262,1232
541837,1262,1232
541838,1262,1232
541839,1262,1232
541840,1262,1232
541841,1262,1232
541842,1262,1232
541843,1262,1232
549804,1262,1232
549878,1262,1232
549896,1262,1232
15776,1263,1233
45275,1256,1233
51100,1256,1233
50978,1256,1233
51026,1256,1233
52233,1256,1233
111724,1259,1233
541848,1263,1233
15509,1268,1234
39838,1256,1234
40184,1256,1234
40739,1256,1234
41621,1264,1234
42472,1256,1234
43447,1256,1234
43478,1270,1234
43881,1256,1234
44631,1256,1234
45010,1256,1234
45020,1256,1234
45118,1256,1234
45336,1256,1234
51469,0,1234
48128,1256,1234
49239,1256,1234
50335,1256,1234
50748,1256,1234
50841,1256,1234
52114,1256,1234
66403,1264,1234
11381,1265,1235
